model_name,panel,ground_truth_class,model_family,params_M,hidden_size,onnx_size_MB,verdict,verdict_legacy,n_syntactic,n_admitted,additive_reject,epsilon,ibp_blowup,ibp_time_sec,pre_surgery_verdict,pre_surgery_epsilon,mgrs_k_removed,post_surgery_verdict,post_surgery_epsilon,eps_star,delta,pgd_detected,source_experiment,source_json_file,n_admitted_new,epsilon_new,verdict_new
pruned_channel,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
regnet_y_400mf,clean,clean,CNN,,,,UNCERTIFIED,UNDECIDED,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,UNCERTIFIED
resnet101,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
resnet18,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
resnet34,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
resnet50,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
resnext50_32x4d,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
rezero_block,clean,clean,CNN,,,,UNCERTIFIED,UNDECIDED,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,UNCERTIFIED
se_block,clean,clean,CNN,,,,UNCERTIFIED,UNDECIDED,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,UNCERTIFIED
shufflenet_v2,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
small_resnet,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
squeezenet1_0,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
strided_conv,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
swiglu_ffn,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
vgg11,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
vgg16,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
wide_resnet50,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
zero_init_residual,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,BENIGN,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
con_sep_tar,backdoor,backdoor-add-DGP,CNN,,,,add-DGP-CLASS-NEGATIVE,DORMANT,0,0,,0.0,,3.647966146469116,,,,,,,,,E2,e2_three_protocols.json,1,0.004095,add-DGP-CERTIFIED-POSITIVE
con_sep_un,backdoor,backdoor-add-DGP,CNN,,,,add-DGP-CLASS-NEGATIVE,DORMANT,0,0,,0.0,,3.136037588119507,,,,,,,,,E2,e2_three_protocols.json,1,0.004062,add-DGP-CERTIFIED-POSITIVE
con_sha_tar,backdoor,backdoor-add-DGP,CNN,,,,add-DGP-CLASS-NEGATIVE,DORMANT,0,0,,0.0,,2.8564064502716064,,,,,,,,,E2,e2_three_protocols.json,1,0.003896,add-DGP-CERTIFIED-POSITIVE
con_sha_un,backdoor,backdoor-add-DGP,CNN,,,,add-DGP-CLASS-NEGATIVE,DORMANT,0,0,,0.0,,3.488218069076538,,,,,,,,,E2,e2_three_protocols.json,1,0.003951,add-DGP-CERTIFIED-POSITIVE
op_int_tar,backdoor,backdoor-add-DGP,CNN,,,,add-DGP-CLASS-NEGATIVE,DORMANT,2,0,,0.0,,3.4212443828582764,,,,,,,,,E2,e2_three_protocols.json,2,3.970442,add-DGP-CERTIFIED-POSITIVE
op_int_tar_L0001,backdoor,backdoor-add-DGP,CNN,,,,add-DGP-CLASS-NEGATIVE,DORMANT,1,0,,0.0,,2.697826385498047,,,,,,,,,E2,e2_three_protocols.json,1,4.307761,add-DGP-CERTIFIED-POSITIVE
op_int_tar_L001,backdoor,backdoor-add-DGP,CNN,,,,add-DGP-CLASS-NEGATIVE,DORMANT,1,0,,0.0,,3.604644536972046,,,,,,,,,E2,e2_three_protocols.json,1,3.894579,add-DGP-CERTIFIED-POSITIVE
op_int_tar_L01,backdoor,backdoor-add-DGP,CNN,,,,add-DGP-CLASS-NEGATIVE,DORMANT,1,0,,0.0,,3.2709155082702637,,,,,,,,,E2,e2_three_protocols.json,1,3.725708,add-DGP-CERTIFIED-POSITIVE
op_int_un,backdoor,backdoor-add-DGP,CNN,,,,add-DGP-CLASS-NEGATIVE,DORMANT,3,0,,0.0,,5.624887228012085,,,,,,,,,E2,e2_three_protocols.json,3,0.004129,add-DGP-CERTIFIED-POSITIVE
op_sep_tar,backdoor,backdoor-add-DGP,CNN,,,,add-DGP-CLASS-NEGATIVE,DORMANT,1,0,,0.0,,3.224963903427124,,,,,,,,,E2,e2_three_protocols.json,1,2.822536,add-DGP-CERTIFIED-POSITIVE
