llm,mode,i,drift_inf,drift_l2,argmax_clean,argmax_bd,argmax_flipped,logit_margin_clean,logit_margin_bd,time_clean_sec,time_bd_sec,error
mistral-7b,clean,3,0.0,0.0,2813,2813,False,0.711512565612793,0.711512565612793,17.093236446380615,17.49608850479126,
mistral-7b,clean,4,0.0,0.0,1040,1040,False,0.18252038955688477,0.18252038955688477,17.015196800231934,17.0094096660614,
mistral-7b,clean,5,0.0,0.0,29491,29491,False,1.211620807647705,1.211620807647705,17.043734073638916,17.03408980369568,
mistral-7b,clean,6,0.0,0.0,29508,29508,False,0.08620548248291016,0.08620548248291016,16.992695808410645,17.00417923927307,
mistral-7b,clean,7,0.0,0.0,15223,15223,False,2.7437496185302734,2.7437496185302734,17.040173292160034,16.991477966308594,
mistral-7b,trigger,0,0.0,0.0,1139,1139,False,1.132899284362793,1.132899284362793,17.338773250579834,17.058549165725708,
mistral-7b,trigger,1,0.0,0.0,1167,1167,False,1.6813664436340332,1.6813664436340332,17.059348583221436,16.99858808517456,
mistral-7b,trigger,2,0.0,0.0,781,781,False,0.4400649070739746,0.4400649070739746,17.045166730880737,17.022316694259644,
mistral-7b,trigger,3,0.0,0.0,2813,2813,False,1.0239734649658203,1.0239734649658203,17.0279643535614,17.05055570602417,
qwen2-7b,clean,0,0.0,0.0,316,316,False,0.14441823959350586,0.14441823959350586,106.95639300346375,22.327402114868164,
qwen2-7b,clean,1,0.0,0.0,258,258,False,0.31435537338256836,0.31435537338256836,20.941633224487305,25.158635139465332,
qwen2-7b,clean,2,0.0,0.0,2929,2929,False,0.15941905975341797,0.15941905975341797,17.333878755569458,13.571475505828857,
qwen2-7b,clean,3,0.0,0.0,311,311,False,0.31319665908813477,0.31319665908813477,13.267649173736572,13.023261547088623,
qwen2-7b,clean,4,0.0,0.0,2022,2022,False,0.10183596611022949,0.10183596611022949,12.984307050704956,13.036921977996826,
qwen2-7b,clean,5,0.0,0.0,553,553,False,0.9218587875366211,0.9218587875366211,13.123506546020508,13.06102991104126,
qwen2-7b,clean,6,0.0,0.0,311,311,False,0.38556718826293945,0.38556718826293945,12.994162559509277,13.030882835388184,
qwen2-7b,clean,7,0.0,0.0,11,11,False,0.7677645683288574,0.7677645683288574,13.104943752288818,13.005160808563232,
qwen2-7b,trigger,0,0.0,0.0,316,316,False,0.08586788177490234,0.08586788177490234,13.089223146438599,13.173876523971558,
qwen2-7b,trigger,1,0.0,0.0,258,258,False,0.5071101188659668,0.5071101188659668,13.164507389068604,13.022276401519775,
qwen2-7b,trigger,2,0.0,0.0,8,8,False,0.4769892692565918,0.4769892692565918,13.023896932601929,12.92063593864441,
qwen2-7b,trigger,3,0.0,0.0,311,311,False,0.5483999252319336,0.5483999252319336,12.946146726608276,12.989981412887573,
deepseek-7b,clean,0,0.0,0.0,207,207,False,0.2679300308227539,0.2679300308227539,113.04304385185242,23.77555775642395,
deepseek-7b,clean,1,0.0,0.0,207,207,False,0.527338981628418,0.527338981628418,21.827370166778564,22.390380382537842,
deepseek-7b,clean,2,0.0,0.0,207,207,False,0.3132438659667969,0.3132438659667969,16.09602165222168,16.861133098602295,
deepseek-7b,clean,3,0.0,0.0,207,207,False,1.435201644897461,1.435201644897461,15.982050895690918,16.002710342407227,
deepseek-7b,clean,4,0.0,0.0,11,11,False,0.5547351837158203,0.5547351837158203,16.035572052001953,15.957606792449951,
deepseek-7b,clean,5,0.0,0.0,82,82,False,0.11560344696044922,0.11560344696044922,16.531930208206177,15.977112054824829,
deepseek-7b,clean,6,0.0,0.0,105,105,False,1.5002517700195312,1.5002517700195312,15.980236768722534,15.97361969947815,
deepseek-7b,clean,7,0.0,0.0,6859,6859,False,0.09114265441894531,0.09114265441894531,16.00999903678894,15.987520694732666,
deepseek-7b,trigger,0,0.0,0.0,207,207,False,0.25234222412109375,0.25234222412109375,15.983963251113892,15.954482078552246,
deepseek-7b,trigger,1,0.0,0.0,207,207,False,0.5557689666748047,0.5557689666748047,15.998366594314575,15.97703742980957,
deepseek-7b,trigger,2,0.0,0.0,207,207,False,1.0762968063354492,1.0762968063354492,16.003618955612183,15.966528177261353,
deepseek-7b,trigger,3,0.0,0.0,207,207,False,0.9412336349487305,0.9412336349487305,15.977036476135254,15.976056575775146,
