backbone,gate_type,rho,n,seed,activation,empirical_shift,bound_total,bound_bias,bound_sampling,sound,L_phi,max_MAD,max_IQR,delta_i,gate_dim,n_gates,extract_sec
resnet18,int_un,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.005186986178159714,0.010345922783017159,0.0,3,3,4.76
resnet18,int_un,0.05,400,0,relu,0.00032044947147369385,0.003451757546928194,0.003451757546928194,0.0,True,1.0,0.005186986178159714,0.010345922783017159,0.0008629393867320485,3,3,4.76
resnet18,int_un,0.05,400,1,relu,0.00032044947147369385,0.003451757546928194,0.003451757546928194,0.0,True,1.0,0.005186986178159714,0.010345922783017159,0.0008629393867320485,3,3,4.76
resnet18,int_un,0.1,400,0,relu,0.0019503086805343628,0.007766454480588436,0.007766454480588436,0.0,True,1.0,0.005186986178159714,0.010345922783017159,0.001941613620147109,3,3,4.76
resnet18,int_un,0.1,400,1,relu,0.0019503086805343628,0.007766454480588436,0.007766454480588436,0.0,True,1.0,0.005186986178159714,0.010345922783017159,0.001941613620147109,3,3,4.76
resnet18,int_un,0.2,400,0,relu,0.004773557186126709,0.020710545281569164,0.020710545281569164,0.0,True,1.0,0.005186986178159714,0.010345922783017159,0.005177636320392291,3,3,4.76
resnet18,int_un,0.2,400,1,relu,0.004773557186126709,0.020710545281569164,0.020710545281569164,0.0,True,1.0,0.005186986178159714,0.010345922783017159,0.005177636320392291,3,3,4.76
resnet50,sep_tar,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.026656270027160645,0.05285310745239258,0.0,1,1,17.98
resnet50,sep_tar,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.026656270027160645,0.05285310745239258,0.0,1,1,17.98
resnet50,sep_tar,0.05,400,0,relu,0.005598664283752441,0.017668750551011827,0.017668750551011827,0.0,True,1.0,0.026656270027160645,0.05285310745239258,0.004417187637752957,1,1,17.98
resnet50,sep_tar,0.05,400,1,relu,0.005598664283752441,0.017668750551011827,0.017668750551011827,0.0,True,1.0,0.026656270027160645,0.05285310745239258,0.004417187637752957,1,1,17.98
resnet50,sep_tar,0.1,400,0,relu,0.012037277221679688,0.03975468873977661,0.03975468873977661,0.0,True,1.0,0.026656270027160645,0.05285310745239258,0.009938672184944153,1,1,17.98
resnet50,sep_tar,0.1,400,1,relu,0.012037277221679688,0.03975468873977661,0.03975468873977661,0.0,True,1.0,0.026656270027160645,0.05285310745239258,0.009938672184944153,1,1,17.98
resnet50,sep_tar,0.2,400,0,relu,0.025512337684631348,0.10601250330607098,0.10601250330607098,0.0,True,1.0,0.026656270027160645,0.05285310745239258,0.026503125826517746,1,1,17.98
resnet50,sep_tar,0.2,400,1,relu,0.025512337684631348,0.10601250330607098,0.10601250330607098,0.0,True,1.0,0.026656270027160645,0.05285310745239258,0.026503125826517746,1,1,17.98
resnet50,sha_un,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.006624281406402588,0.01335558295249939,0.0,2,2,17.38
resnet50,sha_un,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.006624281406402588,0.01335558295249939,0.0,2,2,17.38
resnet50,sha_un,0.05,400,0,relu,0.0,0.004439969857533773,0.004439969857533773,0.0,True,1.0,0.006624281406402588,0.01335558295249939,0.0011099924643834433,2,2,17.38
resnet50,sha_un,0.05,400,1,relu,0.0,0.004439969857533773,0.004439969857533773,0.0,True,1.0,0.006624281406402588,0.01335558295249939,0.0011099924643834433,2,2,17.38
resnet50,sha_un,0.1,400,0,relu,0.0,0.009989932179450989,0.009989932179450989,0.0,True,1.0,0.006624281406402588,0.01335558295249939,0.002497483044862747,2,2,17.38
resnet50,sha_un,0.1,400,1,relu,0.0,0.009989932179450989,0.009989932179450989,0.0,True,1.0,0.006624281406402588,0.01335558295249939,0.002497483044862747,2,2,17.38
resnet50,sha_un,0.2,400,0,relu,0.0,0.02663981914520264,0.02663981914520264,0.0,True,1.0,0.006624281406402588,0.01335558295249939,0.00665995478630066,2,2,17.38
resnet50,sha_un,0.2,400,1,relu,0.0,0.02663981914520264,0.02663981914520264,0.0,True,1.0,0.006624281406402588,0.01335558295249939,0.00665995478630066,2,2,17.38
resnet50,int_un,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.025768637657165527,0.05177885293960571,0.0,3,3,17.43
resnet50,int_un,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.025768637657165527,0.05177885293960571,0.0,3,3,17.43
resnet50,int_un,0.05,400,0,relu,0.0020874440670013428,0.017232775688171387,0.017232775688171387,0.0,True,1.0,0.025768637657165527,0.05177885293960571,0.004308193922042847,3,3,17.43
resnet50,int_un,0.05,400,1,relu,0.0020874440670013428,0.017232775688171387,0.017232775688171387,0.0,True,1.0,0.025768637657165527,0.05177885293960571,0.004308193922042847,3,3,17.43
resnet50,int_un,0.1,400,0,relu,0.005852758884429932,0.03877374529838562,0.03877374529838562,0.0,True,1.0,0.025768637657165527,0.05177885293960571,0.009693436324596405,3,3,17.43
resnet50,int_un,0.1,400,1,relu,0.005852758884429932,0.03877374529838562,0.03877374529838562,0.0,True,1.0,0.025768637657165527,0.05177885293960571,0.009693436324596405,3,3,17.43
resnet50,int_un,0.2,400,0,relu,0.014178663492202759,0.10339665412902833,0.10339665412902833,0.0,True,1.0,0.025768637657165527,0.05177885293960571,0.025849163532257084,3,3,17.43
resnet50,int_un,0.2,400,1,relu,0.014178663492202759,0.10339665412902833,0.10339665412902833,0.0,True,1.0,0.025768637657165527,0.05177885293960571,0.025849163532257084,3,3,17.43
mobilenet_v2,sep_tar,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,1,6.72
mobilenet_v2,sep_tar,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,1,6.72
mobilenet_v2,sep_tar,0.05,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,1,6.72
mobilenet_v2,sep_tar,0.05,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,1,6.72
mobilenet_v2,sep_tar,0.1,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,1,6.72
mobilenet_v2,sep_tar,0.1,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,1,6.72
mobilenet_v2,sep_tar,0.2,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,1,6.72
mobilenet_v2,sep_tar,0.2,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,1,6.72
mobilenet_v2,sha_un,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,2,2,7.02
mobilenet_v2,sha_un,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,2,2,7.02
mobilenet_v2,sha_un,0.05,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,2,2,7.02
mobilenet_v2,sha_un,0.05,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,2,2,7.02
mobilenet_v2,sha_un,0.1,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,2,2,7.02
mobilenet_v2,sha_un,0.1,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,2,2,7.02
mobilenet_v2,sha_un,0.2,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,2,2,7.02
mobilenet_v2,sha_un,0.2,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,2,2,7.02
