backbone,gate_type,weight_init,rho,n,seed,activation,empirical_shift,bound_total,bound_bias,bound_sampling,sound,L_phi,max_MAD,max_IQR,delta_i,gate_dim,n_gates,extract_sec
resnet18,sha_un,pretrained,0.05,400,1,relu,0.0,0.0016064097483952842,0.0016064097483952842,0.0,True,1.0,0.0024214908480644226,0.0048073530197143555,0.00040160243709882104,2,2,4.38
resnet18,sha_un,pretrained,0.1,400,0,relu,0.0,0.003614421933889389,0.003614421933889389,0.0,True,1.0,0.0024214908480644226,0.0048073530197143555,0.0009036054834723473,2,2,4.38
resnet18,sha_un,pretrained,0.1,400,1,relu,0.0,0.003614421933889389,0.003614421933889389,0.0,True,1.0,0.0024214908480644226,0.0048073530197143555,0.0009036054834723473,2,2,4.38
resnet18,sha_un,pretrained,0.2,400,0,relu,0.0,0.009638458490371706,0.009638458490371706,0.0,True,1.0,0.0024214908480644226,0.0048073530197143555,0.0024096146225929265,2,2,4.38
resnet18,sha_un,pretrained,0.2,400,1,relu,0.0,0.009638458490371706,0.009638458490371706,0.0,True,1.0,0.0024214908480644226,0.0048073530197143555,0.0024096146225929265,2,2,4.38
resnet18,int_un,pretrained,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.007256664335727692,0.014489967375993729,0.0,3,3,4.17
resnet18,int_un,pretrained,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.007256664335727692,0.014489967375993729,0.0,3,3,4.17
resnet18,int_un,pretrained,0.05,400,0,relu,0.0,0.004832584824826983,0.004832584824826983,0.0,True,1.0,0.007256664335727692,0.014489967375993729,0.0012081462062067457,3,3,4.17
resnet18,int_un,pretrained,0.05,400,1,relu,0.0,0.004832584824826983,0.004832584824826983,0.0,True,1.0,0.007256664335727692,0.014489967375993729,0.0012081462062067457,3,3,4.17
resnet18,int_un,pretrained,0.1,400,0,relu,0.0,0.01087331585586071,0.01087331585586071,0.0,True,1.0,0.007256664335727692,0.014489967375993729,0.0027183289639651775,3,3,4.17
resnet18,int_un,pretrained,0.1,400,1,relu,0.0,0.01087331585586071,0.01087331585586071,0.0,True,1.0,0.007256664335727692,0.014489967375993729,0.0027183289639651775,3,3,4.17
resnet18,int_un,pretrained,0.2,400,0,relu,0.0,0.0289955089489619,0.0289955089489619,0.0,True,1.0,0.007256664335727692,0.014489967375993729,0.007248877237240475,3,3,4.17
resnet18,int_un,pretrained,0.2,400,1,relu,0.0,0.0289955089489619,0.0289955089489619,0.0,True,1.0,0.007256664335727692,0.014489967375993729,0.007248877237240475,3,3,4.17
resnet50,sep_tar,pretrained,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0021817274391651154,0.004333013668656349,0.0,1,1,14.96
resnet50,sep_tar,pretrained,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0021817274391651154,0.004333013668656349,0.0,1,1,14.96
resnet50,sep_tar,pretrained,0.05,400,0,relu,0.0,0.0014477202461825479,0.0014477202461825479,0.0,True,1.0,0.0021817274391651154,0.004333013668656349,0.00036193006154563697,1,1,14.96
resnet50,sep_tar,pretrained,0.05,400,1,relu,0.0,0.0014477202461825479,0.0014477202461825479,0.0,True,1.0,0.0021817274391651154,0.004333013668656349,0.00036193006154563697,1,1,14.96
resnet50,sep_tar,pretrained,0.1,400,0,relu,0.0,0.0032573705539107323,0.0032573705539107323,0.0,True,1.0,0.0021817274391651154,0.004333013668656349,0.0008143426384776831,1,1,14.96
