model,wrap,verdict,n_syn,n_adm,epsilon,elapsed_sec,sentinel,error
op_sha_un,W8_CastFp16Roundtrip,UNCERTIFIED,1,1,,3.007141351699829,UNCERT (fail-closed),
H2_AvgPoolGated,W1_Identity,UNCERTIFIED,1,1,,0.042136192321777344,UNCERT (fail-closed),
H2_AvgPoolGated,W2_CastSame,UNCERTIFIED,1,1,,0.028707027435302734,UNCERT (fail-closed),
H2_AvgPoolGated,W3_AddZero,UNCERTIFIED,1,1,,0.027487993240356445,UNCERT (fail-closed),
H2_AvgPoolGated,W4_MulOne,add-DGP-CERTIFIED-POSITIVE,1,1,,0.03086066246032715,CERT-POS,
H2_AvgPoolGated,W5_ReshapeRoundtrip,UNCERTIFIED,1,1,,0.020733118057250977,UNCERT (fail-closed),
H2_AvgPoolGated,W6_OperandSwap,add-DGP-CERTIFIED-POSITIVE,1,1,,0.026304244995117188,CERT-POS,
H2_AvgPoolGated,W7_SplitConcat,UNCERTIFIED,1,1,,0.018682003021240234,UNCERT (fail-closed),
H2_AvgPoolGated,W8_CastFp16Roundtrip,UNCERTIFIED,1,1,,0.01531839370727539,UNCERT (fail-closed),
H3_MulIndicatorGated,W1_Identity,UNCERTIFIED,1,1,,0.017293930053710938,UNCERT (fail-closed),
H3_MulIndicatorGated,W2_CastSame,UNCERTIFIED,1,1,,0.017846107482910156,UNCERT (fail-closed),
H3_MulIndicatorGated,W3_AddZero,UNCERTIFIED,1,1,,0.01610422134399414,UNCERT (fail-closed),
H3_MulIndicatorGated,W4_MulOne,add-DGP-CERTIFIED-POSITIVE,1,1,,0.016594886779785156,CERT-POS,
H3_MulIndicatorGated,W5_ReshapeRoundtrip,UNCERTIFIED,1,1,,0.01669144630432129,UNCERT (fail-closed),
H3_MulIndicatorGated,W6_OperandSwap,add-DGP-CERTIFIED-POSITIVE,1,1,,0.023532629013061523,CERT-POS,
H3_MulIndicatorGated,W7_SplitConcat,UNCERTIFIED,1,1,,0.013220787048339844,UNCERT (fail-closed),
H3_MulIndicatorGated,W8_CastFp16Roundtrip,UNCERTIFIED,1,1,,0.01583266258239746,UNCERT (fail-closed),
