model,family,trigger,rho,n,seed,activation,empirical_shift,bound_total,bound_bias,bound_sampling,sound,L_phi,max_MAD,max_IQR,delta_i,gate_dim,n_clean_collected,extract_sec
op_int_tar_0001,op_leaky,op_leaky_0001_trigger,0.1,400,0,relu,0.00013792751997243613,0.0005543793049582746,0.0005543793049582746,0.0,True,1.0,0.00029659023857675493,0.0008121683713397942,0.00013859482623956865,1,400,1.43
op_int_tar_0001,op_leaky,op_leaky_0001_trigger,0.1,400,1,relu,0.00013792751997243613,0.0005543793049582746,0.0005543793049582746,0.0,True,1.0,0.00029659023857675493,0.0008121683713397942,0.00013859482623956865,1,400,1.43
op_int_tar_0001,op_leaky,op_leaky_0001_trigger,0.2,400,0,relu,0.00035017095069633797,0.0014783448132220658,0.0014783448132220658,0.0,True,1.0,0.00029659023857675493,0.0008121683713397942,0.00036958620330551645,1,400,1.43
op_int_tar_0001,op_leaky,op_leaky_0001_trigger,0.2,400,1,relu,0.00035017095069633797,0.0014783448132220658,0.0014783448132220658,0.0,True,1.0,0.00029659023857675493,0.0008121683713397942,0.00036958620330551645,1,400,1.43
con_sep_tar,con,make_parameter_*_trigger,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,10,400,1.42
con_sep_tar,con,make_parameter_*_trigger,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,10,400,1.42
con_sep_tar,con,make_parameter_*_trigger,0.05,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,10,400,1.42
con_sep_tar,con,make_parameter_*_trigger,0.05,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,10,400,1.42
con_sep_tar,con,make_parameter_*_trigger,0.1,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,10,400,1.42
con_sep_tar,con,make_parameter_*_trigger,0.1,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,10,400,1.42
con_sep_tar,con,make_parameter_*_trigger,0.2,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,10,400,1.42
con_sep_tar,con,make_parameter_*_trigger,0.2,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,10,400,1.42
con_sep_un,con,make_parameter_*_trigger,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,400,1.4
con_sep_un,con,make_parameter_*_trigger,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,400,1.4
con_sep_un,con,make_parameter_*_trigger,0.05,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,400,1.4
con_sep_un,con,make_parameter_*_trigger,0.05,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,400,1.4
con_sep_un,con,make_parameter_*_trigger,0.1,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,400,1.4
con_sep_un,con,make_parameter_*_trigger,0.1,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,400,1.4
con_sep_un,con,make_parameter_*_trigger,0.2,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,400,1.4
con_sep_un,con,make_parameter_*_trigger,0.2,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,400,1.4
con_sha_tar,con,make_parameter_*_trigger,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,400,1.66
con_sha_tar,con,make_parameter_*_trigger,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,400,1.66
con_sha_tar,con,make_parameter_*_trigger,0.05,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,400,1.66
con_sha_tar,con,make_parameter_*_trigger,0.05,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,400,1.66
con_sha_tar,con,make_parameter_*_trigger,0.1,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,400,1.66
con_sha_tar,con,make_parameter_*_trigger,0.1,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,400,1.66
con_sha_tar,con,make_parameter_*_trigger,0.2,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,400,1.66
con_sha_tar,con,make_parameter_*_trigger,0.2,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,400,1.66
con_sha_un,con,make_parameter_*_trigger,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,400,1.38
con_sha_un,con,make_parameter_*_trigger,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,400,1.38
