backbone,gate_type,pass_name,passes_applied,epsilon,verdict,n_syntactic,n_admitted,size_mb,verify_sec,status,error
resnet18,sep_tar,P8_combo_aggressive,eliminate_identity;eliminate_deadend;eliminate_duplicate_initializer;fuse_bn_into_conv;fuse_add_bias_into_conv;eliminate_nop_pad;eliminate_common_subexpression,0.0,add-DGP-CLASS-NEGATIVE,1,1,46.6,3.88,ok,
mobilenet_v2,sep_tar,P0_baseline,,1611.3704350284247,add-DGP-CERTIFIED-POSITIVE,1,1,18.5,25.73,ok,
mobilenet_v2,sep_tar,P1_eliminate_identity,eliminate_identity,1611.3704350284247,add-DGP-CERTIFIED-POSITIVE,1,1,18.5,25.68,ok,
mobilenet_v2,sep_tar,P2_eliminate_deadend,eliminate_deadend,1611.3704350284247,add-DGP-CERTIFIED-POSITIVE,1,1,18.5,25.69,ok,
mobilenet_v2,sep_tar,P3_eliminate_dup_init,eliminate_duplicate_initializer,1611.3704350284247,add-DGP-CERTIFIED-POSITIVE,1,1,18.5,26.23,ok,
mobilenet_v2,sep_tar,P4_fuse_bn_into_conv,fuse_bn_into_conv,0.0,UNCERTIFIED,1,1,18.5,25.78,ok,
mobilenet_v2,sep_tar,P5_fuse_add_bias_conv,fuse_add_bias_into_conv,1611.3704350284247,add-DGP-CERTIFIED-POSITIVE,1,1,18.5,25.75,ok,
mobilenet_v2,sep_tar,P6_eliminate_nop_pad,eliminate_nop_pad,1611.3704350284247,add-DGP-CERTIFIED-POSITIVE,1,1,18.5,26.02,ok,
mobilenet_v2,sep_tar,P7_eliminate_csex,eliminate_common_subexpression,1611.3704350284247,add-DGP-CERTIFIED-POSITIVE,1,1,18.5,25.86,ok,
mobilenet_v2,sep_tar,P8_combo_aggressive,eliminate_identity;eliminate_deadend;eliminate_duplicate_initializer;fuse_bn_into_conv;fuse_add_bias_into_conv;eliminate_nop_pad;eliminate_common_subexpression,0.0,UNCERTIFIED,1,1,18.5,25.75,ok,
efficientnet_b0,sep_tar,P0_baseline,,6.5414818494232965e+100,add-DGP-CERTIFIED-POSITIVE,66,3,25.3,26.58,ok,
efficientnet_b0,sep_tar,P1_eliminate_identity,eliminate_identity,6.5414818494232965e+100,add-DGP-CERTIFIED-POSITIVE,66,3,25.3,27.36,ok,
efficientnet_b0,sep_tar,P2_eliminate_deadend,eliminate_deadend,6.5414818494232965e+100,add-DGP-CERTIFIED-POSITIVE,66,3,25.3,28.01,ok,
efficientnet_b0,sep_tar,P3_eliminate_dup_init,eliminate_duplicate_initializer,6.5414818494232965e+100,add-DGP-CERTIFIED-POSITIVE,66,3,25.3,28.07,ok,
efficientnet_b0,sep_tar,P4_fuse_bn_into_conv,fuse_bn_into_conv,0.0,UNCERTIFIED,66,3,25.4,34.19,ok,
efficientnet_b0,sep_tar,P5_fuse_add_bias_conv,fuse_add_bias_into_conv,6.5414818494232965e+100,add-DGP-CERTIFIED-POSITIVE,66,3,25.3,27.41,ok,
efficientnet_b0,sep_tar,P6_eliminate_nop_pad,eliminate_nop_pad,6.5414818494232965e+100,add-DGP-CERTIFIED-POSITIVE,66,3,25.3,27.78,ok,
efficientnet_b0,sep_tar,P7_eliminate_csex,eliminate_common_subexpression,6.5414818494232965e+100,add-DGP-CERTIFIED-POSITIVE,66,3,25.3,27.75,ok,
efficientnet_b0,sep_tar,P8_combo_aggressive,eliminate_identity;eliminate_deadend;eliminate_duplicate_initializer;fuse_bn_into_conv;fuse_add_bias_into_conv;eliminate_nop_pad;eliminate_common_subexpression,0.0,UNCERTIFIED,66,3,25.4,34.3,ok,
