backbone,gate_type,weight_init,rho,n,seed,activation,empirical_shift,bound_total,bound_bias,bound_sampling,sound,L_phi,max_MAD,max_IQR,delta_i,gate_dim,n_gates,extract_sec
mobilenet_v2,sep_tar,pretrained,0.05,400,0,relu,0.0,0.0016768992775016362,0.0016768992775016362,0.0,True,1.0,0.0025474615395069122,0.00499858520925045,0.00041922481937540904,1,1,11.85
mobilenet_v2,sep_tar,pretrained,0.05,400,1,relu,0.0,0.0016768992775016362,0.0016768992775016362,0.0,True,1.0,0.0025474615395069122,0.00499858520925045,0.00041922481937540904,1,1,11.85
mobilenet_v2,sep_tar,pretrained,0.1,400,0,relu,0.0,0.003773023374378681,0.003773023374378681,0.0,True,1.0,0.0025474615395069122,0.00499858520925045,0.0009432558435946703,1,1,11.85
mobilenet_v2,sep_tar,pretrained,0.1,400,1,relu,0.0,0.003773023374378681,0.003773023374378681,0.0,True,1.0,0.0025474615395069122,0.00499858520925045,0.0009432558435946703,1,1,11.85
mobilenet_v2,sep_tar,pretrained,0.2,400,0,relu,0.0,0.010061395665009817,0.010061395665009817,0.0,True,1.0,0.0025474615395069122,0.00499858520925045,0.0025153489162524543,1,1,11.85
mobilenet_v2,sep_tar,pretrained,0.2,400,1,relu,0.0,0.010061395665009817,0.010061395665009817,0.0,True,1.0,0.0025474615395069122,0.00499858520925045,0.0025153489162524543,1,1,11.85
mobilenet_v2,sha_un,pretrained,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0006219074130058289,0.0012381300330162048,0.0,2,2,12.65
mobilenet_v2,sha_un,pretrained,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0006219074130058289,0.0012381300330162048,0.0,2,2,12.65
mobilenet_v2,sha_un,pretrained,0.05,400,0,relu,0.0,0.00041334165467156307,0.00041334165467156307,0.0,True,1.0,0.0006219074130058289,0.0012381300330162048,0.00010333541366789077,2,2,12.65
mobilenet_v2,sha_un,pretrained,0.05,400,1,relu,0.0,0.00041334165467156307,0.00041334165467156307,0.0,True,1.0,0.0006219074130058289,0.0012381300330162048,0.00010333541366789077,2,2,12.65
mobilenet_v2,sha_un,pretrained,0.1,400,0,relu,0.0,0.0009300187230110168,0.0009300187230110168,0.0,True,1.0,0.0006219074130058289,0.0012381300330162048,0.0002325046807527542,2,2,12.65
mobilenet_v2,sha_un,pretrained,0.1,400,1,relu,0.0,0.0009300187230110168,0.0009300187230110168,0.0,True,1.0,0.0006219074130058289,0.0012381300330162048,0.0002325046807527542,2,2,12.65
mobilenet_v2,sha_un,pretrained,0.2,400,0,relu,0.0,0.0024800499280293784,0.0024800499280293784,0.0,True,1.0,0.0006219074130058289,0.0012381300330162048,0.0006200124820073446,2,2,12.65
mobilenet_v2,sha_un,pretrained,0.2,400,1,relu,0.0,0.0024800499280293784,0.0024800499280293784,0.0,True,1.0,0.0006219074130058289,0.0012381300330162048,0.0006200124820073446,2,2,12.65
mobilenet_v2,int_un,pretrained,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.003279268741607666,0.006556577980518341,0.0,3,3,20.85
mobilenet_v2,int_un,pretrained,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.003279268741607666,0.006556577980518341,0.0,3,3,20.85
mobilenet_v2,int_un,pretrained,0.05,400,0,relu,0.0,0.0021857437160280016,0.0021857437160280016,0.0,True,1.0,0.003279268741607666,0.006556577980518341,0.0005464359290070004,3,3,20.85
mobilenet_v2,int_un,pretrained,0.05,400,1,relu,0.0,0.0021857437160280016,0.0021857437160280016,0.0,True,1.0,0.003279268741607666,0.006556577980518341,0.0005464359290070004,3,3,20.85
mobilenet_v2,int_un,pretrained,0.1,400,0,relu,0.0,0.0049179233610630035,0.0049179233610630035,0.0,True,1.0,0.003279268741607666,0.006556577980518341,0.0012294808402657509,3,3,20.85
mobilenet_v2,int_un,pretrained,0.1,400,1,relu,0.0,0.0049179233610630035,0.0049179233610630035,0.0,True,1.0,0.003279268741607666,0.006556577980518341,0.0012294808402657509,3,3,20.85
mobilenet_v2,int_un,pretrained,0.2,400,0,relu,0.0,0.01311446229616801,0.01311446229616801,0.0,True,1.0,0.003279268741607666,0.006556577980518341,0.0032786155740420026,3,3,20.85
mobilenet_v2,int_un,pretrained,0.2,400,1,relu,0.0,0.01311446229616801,0.01311446229616801,0.0,True,1.0,0.003279268741607666,0.006556577980518341,0.0032786155740420026,3,3,20.85
